Fund net assets,"Fossil fuel holdings, weight","Coal industry, weight","Oil / gas industry, weight","Fossil-fired utilities, weight",Fossil fuel finance fund score,"Fossil fuel finance holdings, weight",Fossil fuel insurance fund score,"Fossil fuel insurance holdings, weight","Clean200, weight"," Deforestation-risk producer, weight","Deforestation-risk financier, weight","Deforestation-risk consumer brand, weight",esg_score,grade
252249987,0.009,0,0.009,0,0,0,18.9,0.02,0.149,0,0.01,0,25.37,3
88391791,0.051,0,0.021,0.029,12.1,0.064,44.8,0.047,0,0.017,0,0.029,28.9,3
349599561,0.046,0,0.037,0.01,18.3,0.104,36.6,0.038,0.025,0.009,0,0,26.07,3
22452926,0.024,0.007,0.018,0.007,5.3,0.038,25.2,0.027,0.157,0,0.007,0,25.07,3
212369504,0,0,0,0,0,0,0,0,0.122,0,0.018,0,26.37,3
900915897,0.061,0.027,0.034,0.027,0.5,0.007,0,0,0.027,0,0,0,26.04,3
638558918,0.078,0.016,0.078,0.058,48,0.077,29.6,0.035,0.007,0.071,0.077,0.095,22.84,3
828895132,0.042,0.014,0.028,0.014,9.2,0.078,19.8,0.021,0.145,0,0.047,0,24.97,3
401216867,0.087,0.007,0.03,0.061,0.6,0.001,52,0.052,0.129,0,0,0.075,23.49,3
925117822,0.09,0.007,0.031,0.063,0.8,0.001,54.8,0.055,0.136,0.001,0,0.076,22.75,3
154425974,0.119,0,0.036,0.083,0,0,82.7,0.083,0.33,0,0,0.174,19.51,2
1038047819,0.055,0.019,0.041,0.015,6.7,0.031,9.7,0.01,0.102,0.012,0.018,0.019,26.02,3
3907601504,0.072,0.01,0.065,0.014,30.2,0.108,20.3,0.031,0.121,0.009,0.058,0.065,22.84,3
1665181074,0.063,0.011,0.047,0.019,0,0,3.6,0.006,0.003,0.004,0,0.014,25.39,3
509326461,0.048,0,0.022,0.027,0,0,21.9,0.038,0.036,0,0,0.019,27.8,3
828247274,0.022,0,0.022,0,0,0,0,0,0.007,0,0,0.007,24.59,3
335551686,0.053,0,0.053,0,0,0,0,0,0,0,0,0.005,26.29,3
10226430,0.062,0,0.046,0.015,0,0,0,0,0.009,0,0,0,27.29,3
20030682,0,0,0,0,0,0,0,0,0.033,0,0,0,34.62,4
21966988,0.124,0,0,0.124,0,0,123.6,0.124,0.228,0,0.076,0.072,20.72,3
160190480,0.141,0.022,0.059,0.06,0,0,0,0,0.02,0,0,0,25.77,3
162162799,0.124,0.024,0.1,0,9.8,0.06,0,0,0,0,0.036,0.026,27.39,3
36109481,0.048,0,0.048,0.008,0,0,0,0,0.051,0.014,0,0.151,23.66,3
19717595,0.135,0.02,0.119,0.016,0,0,22.2,0.024,0.119,0.023,0.046,0.014,24.86,3
262898311,0.073,0.012,0.061,0.046,20.1,0.055,0,0,0.154,0.019,0.013,0.117,24.5,3
1981434,0.437,0.069,0.226,0.259,0,0,0,0,0.122,0,0,0,27.57,3
918688002,0.166,0.013,0.138,0.107,8.2,0.071,24.1,0.044,0.152,0.043,0.031,0.144,24.37,3
78712916,0.036,0.01,0.015,0.021,7.4,0.017,11.5,0.014,0.195,0,0.047,0.161,22.33,3
16035604,0.075,0.026,0.05,0.022,6.5,0.023,18.6,0.024,0.012,0.006,0,0.028,22.86,3
16077530,0.136,0.037,0.113,0.119,1.7,0.008,0,0,0.023,0.019,0,0.085,24.93,3
14326081,0.15,0.016,0.136,0.014,0,0,0,0,0.084,0,0,0.021,28.72,3
30583172,0,0,0,0,0,0,0,0,0.08,0,0,0,25.14,3
109682247,0,0,0,0,0,0,0,0,0.048,0,0,0.088,20.35,3
28668734,0.083,0.036,0,0.083,0,0,0,0,0.039,0,0,0.022,21.56,3
3750511,0.008,0.001,0.008,0,0,0,0,0,0.053,0,0,0.098,21.3,3
1423015879,0.002,0,0.002,0,0,0,0,0,0.081,0,0,0,23.99,3
1058643019,0,0,0,0,0,0,0,0,0.003,0,0,0,22.52,3
195721692,0,0,0,0,0,0,0,0,0.094,0,0,0.076,23.48,3
125264966,0,0,0,0,0,0,0,0,0.051,0,0,0,26.02,3
191106675,0.032,0.017,0,0.032,0,0,0,0,0.145,0,0,0,23.68,3
526155197,0.033,0.01,0.028,0.005,8.4,0.064,4.6,0.005,0.129,0,0.027,0,24.46,3
227234236,0.056,0.038,0.056,0.018,12.6,0.026,0,0,0.139,0,0.078,0.1,20.69,3
36770428,0.052,0.023,0.052,0.011,16.5,0.034,0,0,0.19,0,0.088,0.132,20.26,3
2746519455,0,0,0,0,0,0,0,0,0.18,0,0,0.128,20.14,3
3131001301,0,0,0,0,0,0,0,0,0.06,0,0,0.048,21.42,3
58538681,0,0,0,0,0,0,0,0,0.195,0,0,0.013,19.83,2
4234415113,0,0,0,0,0,0,0,0,0.094,0,0,0.008,23.35,3
387227921,0.009,0,0.009,0,0,0,0,0,0,0,0,0,23.49,3
2726415928,0.041,0,0.025,0.016,0,0,0,0,0.142,0,0,0.077,19.86,2
636269460,0.05,0.019,0.031,0,2.7,0.045,0,0,0.145,0.014,0.023,0.117,21.61,3
724445753,0,0,0,0,0,0,0,0,0.109,0,0,0.036,21.85,3
21289117,0.012,0,0.012,0,0,0,0,0,0,0,0.008,0,29.92,3
145939795,0.104,0.007,0.096,0,22.5,0.07,0,0,0.14,0.007,0.011,0.065,23.12,3
4562548,0.014,0,0.014,0,0,0,0,0,0.003,0,0,0.115,22.51,3
388176346,0.033,0,0.033,0.01,0,0,0,0,0.211,0,0.05,0.172,20.21,3
567152496,0.069,0.023,0.05,0.021,5.9,0.031,9,0.009,0.111,0.005,0.016,0.007,25.91,3
1111634762,0.063,0.015,0.048,0.026,23.2,0.074,17.2,0.027,0.135,0.009,0.064,0.091,22.76,3
856413146,0.095,0.021,0.077,0.011,14.8,0.063,12.3,0.02,0.128,0.012,0.049,0.08,23.96,3
1654796851,0.075,0.005,0.065,0.027,8,0.015,12.2,0.014,0.151,0,0.02,0.07,24.7,3
235713608,0.204,0.031,0.156,0.048,0,0,48.5,0.048,0.106,0,0,0,24.24,3
25589563,0.041,0,0.013,0.028,33.2,0.043,28.3,0.028,0.35,0,0.043,0.195,20.56,3
4905718,0.192,0.07,0.192,0.139,0,0,0,0,0.081,0,0,0,28.56,3
618672165,0.101,0.01,0.063,0.037,20.1,0.035,34.1,0.036,0.068,0.011,0.042,0.02,25.34,3
96187704,0.097,0.027,0.065,0.04,0,0,0,0,0.004,0,0,0,27.36,3
211139930,0.096,0.025,0.077,0.026,27.3,0.105,31.3,0.052,0.177,0.007,0.08,0.124,22.86,3
161320234,0,0,0,0,0,0,0,0,0.157,0,0,0.042,20.7,3
180101285,0.041,0.007,0.03,0.016,8.5,0.023,11.7,0.015,0.098,0.003,0.018,0.054,23.89,3
157916704,0.046,0.008,0.034,0.018,9.6,0.026,13.2,0.017,0.11,0.003,0.02,0.061,23.87,3
164585867,0.049,0.008,0.036,0.019,10.1,0.028,14.1,0.018,0.117,0.003,0.022,0.065,23.9,3
104374896,0.051,0.009,0.037,0.02,10.4,0.029,14.5,0.018,0.119,0.003,0.022,0.066,23.92,3
56021295,0.052,0.009,0.038,0.02,10.5,0.029,14.6,0.018,0.12,0.003,0.023,0.067,23.93,3
12224928,0.052,0.009,0.038,0.02,10.5,0.029,14.6,0.018,0.12,0.003,0.023,0.067,23.91,3
1601283541,0.12,0.01,0.077,0.057,21.1,0.03,39.7,0.041,0.241,0,0.005,0.111,22.92,3
229443356,0,0,0,0,0,0,0,0,0,0,0,0,22.23,3
1418368432,0,0,0,0,0,0,0,0,0,0,0,0,27.03,3
206950255,0.078,0,0.078,0,2.8,0.02,8.3,0.016,0.167,0,0.02,0.114,21.15,3
770956998,0.11,0.026,0.092,0.032,31,0.109,24.7,0.04,0.129,0.014,0.084,0.11,22.3,3
290634371,0.061,0.015,0.046,0.026,0,0,0,0,0.015,0.002,0,0.005,24.36,3
622476995,0.055,0.009,0.04,0.022,9.7,0.025,13.5,0.017,0.124,0.003,0.02,0.069,23.9,3
868779416,0.042,0.007,0.031,0.017,7.5,0.019,10.7,0.013,0.099,0.003,0.015,0.054,24.1,3
21933920,0.043,0,0.043,0,18.9,0.081,0,0,0.185,0,0.062,0.059,22.42,3
170827009,0,0,0,0,0,0,0,0,0.157,0,0,0.086,21.59,3
503524236,0.069,0.011,0.05,0.022,0,0,0,0,0.013,0,0,0.018,25.23,3
596063688,0.005,0,0.005,0,0,0,0,0,0.146,0,0,0.016,20.33,3
1513204102,0.088,0.006,0.057,0.045,14,0.024,25.3,0.026,0.244,0.002,0.026,0.117,22.05,3
208883932,0.075,0.014,0.048,0.027,0,0,0,0,0.003,0,0,0.002,29.13,3
92394133,0,0,0,0,0,0,0,0,0,0,0,0,26.93,3
180012528,0,0,0,0,0,0,0,0,0,0,0,0,26.83,3
6587631093,0.092,0.018,0.054,0.048,,0.026,,0.026,0.247,0.001,0.039,0.126,22.08,3
883067036,0.023,0,0.023,0.023,2.4,0.008,0,0,0.278,0,0,0.047,19.91,2
16898130,0.019,0,0.019,0.011,10.9,0.052,0,0,0.334,0,0,0.089,17.81,2
291365265,0.033,0.024,0.009,0,19.2,0.082,8,0.017,0.134,0.024,0.052,0.092,23.73,3
1096159809,0.054,0,0.054,0,36.4,0.045,18.1,0.023,0.119,0,0.029,0.067,23.35,3
1303133460,0.077,0,0.049,0.028,0,0,0,0,0,0,0,0.013,25.49,3
986844824,0.108,0,0.108,0,56,0.069,26.5,0.033,0.073,0,0.05,0.031,24.65,3
217925918,0.167,0.049,0.077,0.112,0,0,0,0,0.032,0,0,0.024,26,3
34399871,0,0,0,0,0,0,0,0,0.051,0,0,0,15.59,2
17396039,0.037,0.002,0.033,0.008,10.4,0.02,5.6,0.007,0.087,0.001,0.014,0.044,21.99,3
20325589,0.043,0.002,0.038,0.009,12,0.024,6.4,0.009,0.101,0.001,0.016,0.051,21.95,3
28216214,0.048,0.003,0.043,0.01,13.7,0.026,7.3,0.01,0.114,0.001,0.018,0.058,21.83,3
26199794,0.053,0.003,0.047,0.011,14.8,0.029,7.9,0.011,0.125,0.001,0.019,0.063,21.84,3
28074705,0.056,0.003,0.05,0.011,15.7,0.031,8.4,0.011,0.134,0.002,0.02,0.067,21.77,3
22806605,0.058,0.003,0.052,0.012,16.1,0.032,8.7,0.012,0.138,0.002,0.021,0.069,21.79,3
18542707,0.058,0.003,0.052,0.012,16.4,0.032,8.8,0.012,0.141,0.002,0.021,0.069,21.77,3
570039700,0.11,0,0.059,0.051,0,0,51,0.051,0.176,0,0.041,0.105,22.15,3
665922131,0.011,0,0.002,0.009,0,0,0,0,0.022,0,0,0,24.24,3
143392568,0.015,0,0.007,0.008,0,0,0,0,0.064,0,0,0.009,23.58,3
122951388,0.015,0,0.009,0.006,0,0,0,0,0,0,0,0,26.79,3
